id: 1
name: G65
colour: #000000
26
1 	121.427194,31.186717
2 	121.436721,31.182311
3 	121.443588,31.184955
4 	121.454917,31.190021
5 	121.463844,31.194353
6 	121.474487,31.198685
7 	121.489507,31.201621
8 	121.499635,31.207935
9 	121.51869,31.209623
10 	121.527627,31.211672
11 	121.532044,31.222246
12 	121.527444,31.228561
13 	121.51929,31.239423
14 	121.51723,31.251898
15 	121.51354,31.257474
16 	121.500923,31.260189
17 	121.488735,31.258868
18 	121.47689,31.251237
19 	121.455947,31.249476
20 	121.441184,31.254319
21 	121.431829,31.246321
22 	121.417667,31.237735
23 	121.411315,31.230836
24  	121.415607,31.217551
25 	 121.41698,31.20955
26 	 121.422216,31.195968

id: 2
name: G70
colour: #FF0000
34
1 	121.512272,31.061427
2 	121.510737,31.07297
3 	121.508076,31.084143
4 	121.505844,31.096345
5 	121.497862,31.119126
6 	121.489451,31.14102
7 	121.480181,31.152847
8 	121.493399,31.16078
9 	121.496146,31.170474
10 	 121.494515,31.178038
11  	121.484275,31.182811
12 	121.463369,31.193883
13 	121.450317,31.199218
14 	121.444338,31.207923
15 	 121.493571,31.184941
16 	121.430711,31.220661
17 	121.458542,31.215007
18	121.477182,31.209514
19 	121.489537,31.20146
20 	121.486447,31.211151
21 	121.483271,31.218638
22 	 121.479409,31.227006
23 	121.474774,31.232437
24 	121.470654,31.241977
25 	121.469281,31.252911
26 	121.469023,31.263183
27 	121.47855,31.271693
28  	121.490996,31.276168
29 	121.501467,31.274847
30 	121.509878,31.27338
31  	121.518118,31.27448
32 	 121.528504,31.278442
33 	 121.534684,31.288344
34 	121.53331,31.295239
35 	 121.532109,31.304699
36 	121.531508,31.314526
37 	 121.531765,31.322445

id: 3
name: G93
colour: #FFCC00
26
1 	121.548664,31.22751
2 	121.527221,31.228764
3 	121.516428,31.23014
4 	121.498446,31.216837
5 	121.486215,31.21179
6 	121.477182,31.209514
7 	121.468792,31.206211
8 	121.460659,31.202614
9 	121.450317,31.199218
10 	121.436884,31.195199
11 	121.427314,31.184387
12 	121.417916,31.174767
13 	121.397853,31.170508
14	121.384828,31.166469
15 	121.368971,31.157986
16 	121.34923,31.15525
17 	121.337642,31.149373
18 	 121.319296,31.137252
19 	121.260288,31.117562
20 	121.229732,31.103599
21 	121.23059,31.084269
22 	121.231706,31.053539
23 	121.230676,31.0303
24 	121.230333,31.015884
25  	121.229361,31.001125
26  	121.229903,30.982482

id: 4
name: G85
colour: #009900
28
1 	121.506951,31.328496
2 	121.506779,31.321714
3	121.508453,31.313245
4 	121.514247,31.302648
5 	121.514805,31.297955
6	121.510084,31.289373
7 	121.506393,31.282075
8 	121.501501,31.27474
9 	121.49442,31.268247
10 	121.488583,31.259186
11 	121.484163,31.251886
12 	121.482489,31.243814
13 	121.484592,31.238163
14	 121.487296,31.227705
15 	121.48382,31.219081
16 	121.475365,31.216181
17 	121.458542,31.215007
18 	121.444338,31.207923
19 	121.435282,31.202013
20	121.422622,31.19625
21 	 121.411936,31.19647
22 	121.403868,31.19871
23 	121.392195,31.19926
24 	 121.38005,31.194231
25 	121.367905,31.190119
26 	121.347263,31.191363
27	121.326385,31.194226
28  	121.319025,31.193919

id: 5
name: G85
colour: #990099
27
1 	121.506951,31.328496
2 	121.506779,31.321714
3 	121.508453,31.313245
4	121.514247,31.302648
5 	121.514805,31.297955
6 	121.510084,31.289373
7 	121.506393,31.282075
8 	121.501501,31.27474
9 	121.49442,31.268247
10 	121.488583,31.259186
11 	121.484163,31.251886
12 	121.482489,31.243814
13 	121.484592,31.238163
14  	121.487296,31.227705
15 	121.48382,31.219081
16  	121.475365,31.216181
17 	121.458542,31.215007
18 	121.444338,31.207923
19	121.435282,31.202013
20 	121.422622,31.19625
21 	 121.411936,31.19647
22 	121.403868,31.19871
23 	 121.392195,31.19926
24 	 121.38005,31.194231
25 	 121.370266,31.176994
26  	121.364472,31.169687
27	121.355159,31.165354

id: 6
name: G50
colour: #993333
32
1 	121.668162,31.141355
2 	121.616857,31.1305
3 	121.598146,31.137994
4 	121.592824,31.153053
5 	121.570766,31.157974
6 	121.539266,31.150629
7 	121.522999,31.146459
8 	121.511628,31.143063
9 	121.480214,31.153127
10 	121.459722,31.159866
11	 121.458435,31.166255
12 	121.453113,31.172498
13 	121.441011,31.178593
14	121.436721,31.182311
15 	121.435947,31.193719
16 	121.435089,31.202089
17 	121.430711,31.220661
18 	121.423244,31.230349
19 	121.417493,31.237541
20  	121.411142,31.241724
21  	121.406936,31.250677
22 	121.402816,31.26249
23 	121.390199,31.269019
24 	 121.376037,31.271514
25	121.364708,31.276429
26 	121.349773,31.28127
27 	121.322393,31.2966
28	121.277074,31.319479
29 	121.254158,31.329964
30 	121.245489,31.344919
31	121.227378,31.376874
32 	121.237507,31.391529

id: 7
name: G50
colour: #999999
36
1 	121.668162,31.141355
2 	121.616857,31.1305
3 	121.598146,31.137994
4 	121.592824,31.153053
5	121.570766,31.157974
6	121.539266,31.150629
7 	121.522999,31.146459
8 	121.511628,31.143063
9 	121.480214,31.153127
10 	121.459722,31.159866
11 	121.458435,31.166255
12 	121.453113,31.172498
13	121.441011,31.178593
14 	121.436721,31.182311
15	121.435947,31.193719
16	121.435089,31.202089
17 	121.430711,31.220661
18	121.423244,31.230349
19 	121.417493,31.237541
20 	121.411142,31.241724
21 	121.406936,31.250677
22 	121.402816,31.26249
23 	121.390199,31.269019
24 	 121.376037,31.271514
25 	121.364708,31.276429
26 	121.349773,31.28127
27 	121.322393,31.2966
28	121.277074,31.319479
29 	121.254158,31.329964
30 	121.225919,31.33198
31  	121.20017,31.293739
32 	121.180472,31.285524
33 	121.161976,31.288458
34 	121.15026,31.289082
35 	121.117043,31.29605
36	121.104211,31.298727

id: 8
name: G42
colour: #057B69
32
1 	121.362464,31.131638
2 	121.380488,31.137442
3 	121.391732,31.140748
4 	121.39199,31.155659
5 	121.397258,31.16025
6	121.410561,31.164014
7 	121.419509,31.16664
8 	121.432684,31.168145
9 	121.444443,31.169357
10 	121.452683,31.175012
11 	121.456931,31.184778
12 	121.463369,31.193883
13	121.460751,31.20273
14	121.459388,31.216132
15 	121.459292,31.227577
16 	121.458519,31.241668
17 	121.471437,31.242292
18 	121.482466,31.24376
19 	121.497787,31.250034
20 	121.50667,31.253299
21 	121.513108,31.257775
22 	121.523622,31.264561
23 	121.532248,31.26856
24 	121.54465,31.275199
25 	121.552761,31.2796
26 	121.561216,31.280627
27  	121.578983,31.282241
28	121.589669,31.28004
29	121.602886,31.279894
30 	121.615718,31.27949
31 	121.626705,31.280114
32 	121.638635,31.263131

id: 9
name: G50S
colour: #0000FF
 19
1 	121.319308,31.240986
2 	121.335144,31.240913
3 	121.354928,31.242637
4 	121.367202,31.23772
5 	121.382093,31.232069
6 	121.394195,31.231849
7 	121.411576,31.231042
8 	121.423163,31.230235
9 	121.430158,31.234088
10 	121.438441,31.240913
11	121.444621,31.244178
12 	121.458654,31.241646
13  	121.462259,31.236326
14 	121.462388,31.228546
15 	121.464405,31.220326
16 	 121.475219,31.216472
17 	121.476893,31.209609
18  	121.4817,31.197606
19  	121.484275,31.182811
